country_code_numeric,region,country,age,age_to,year,gender,pop_size
356,IND,India,0,0,1950,both,13505495
356,IND,India,1,1,1950,both,11389238
356,IND,India,2,2,1950,both,10029240.5
356,IND,India,3,3,1950,both,9513108
356,IND,India,4,4,1950,both,9134011.5
356,IND,India,5,5,1950,both,8817841
356,IND,India,6,6,1950,both,8567559
356,IND,India,7,7,1950,both,8374215
356,IND,India,8,8,1950,both,8230675.5
356,IND,India,9,9,1950,both,8129336.5
356,IND,India,10,10,1950,both,8068538.5
356,IND,India,11,11,1950,both,8047966.5
356,IND,India,12,12,1950,both,8000859
356,IND,India,13,13,1950,both,7868176
356,IND,India,14,14,1950,both,7685827
356,IND,India,15,15,1950,both,7528386.5
356,IND,India,16,16,1950,both,7393508
356,IND,India,17,17,1950,both,7244697.5
356,IND,India,18,18,1950,both,7094180.5
356,IND,India,19,19,1950,both,6943545
356,IND,India,20,20,1950,both,6789827.5
356,IND,India,21,21,1950,both,6634998
356,IND,India,22,22,1950,both,6480210.5
356,IND,India,23,23,1950,both,6324537
356,IND,India,24,24,1950,both,6168855
356,IND,India,25,25,1950,both,6013766
356,IND,India,26,26,1950,both,5858518
356,IND,India,27,27,1950,both,5711180
356,IND,India,28,28,1950,both,5578655.5
356,IND,India,29,29,1950,both,5454395.5
356,IND,India,30,30,1950,both,5329805
356,IND,India,31,31,1950,both,5207215.5
356,IND,India,32,32,1950,both,5082621.5
356,IND,India,33,33,1950,both,4947353.5
356,IND,India,34,34,1950,both,4807659.5
356,IND,India,35,35,1950,both,4670866.5
356,IND,India,36,36,1950,both,4532372.5
356,IND,India,37,37,1950,both,4405032.5
356,IND,India,38,38,1950,both,4304945.5
356,IND,India,39,39,1950,both,4216479.5
356,IND,India,40,40,1950,both,4123586
356,IND,India,41,41,1950,both,4036447.5
356,IND,India,42,42,1950,both,3929435.5
356,IND,India,43,43,1950,both,3766791.5
356,IND,India,44,44,1950,both,3574508
356,IND,India,45,45,1950,both,3391747.5
356,IND,India,46,46,1950,both,3206511
356,IND,India,47,47,1950,both,3051519.5
356,IND,India,48,48,1950,both,2970639.5
356,IND,India,49,49,1950,both,2932249.5
356,IND,India,50,50,1950,both,2888232
356,IND,India,51,51,1950,both,2845255
356,IND,India,52,52,1950,both,2768050.5
356,IND,India,53,53,1950,both,2596326.5
356,IND,India,54,54,1950,both,2370438.5
356,IND,India,55,55,1950,both,2159818
356,IND,India,56,56,1950,both,1953472.5
356,IND,India,57,57,1950,both,1789252.5
356,IND,India,58,58,1950,both,1735307.5
356,IND,India,59,59,1950,both,1740823
356,IND,India,60,60,1950,both,1735831
356,IND,India,61,61,1950,both,1731306
356,IND,India,62,62,1950,both,1688287
356,IND,India,63,63,1950,both,1539384
356,IND,India,64,64,1950,both,1337247.5
356,IND,India,65,65,1950,both,1155869
356,IND,India,66,66,1950,both,982638
356,IND,India,67,67,1950,both,839187
356,IND,India,68,68,1950,both,772828
356,IND,India,69,69,1950,both,763512.5
356,IND,India,70,70,1950,both,753669
356,IND,India,71,71,1950,both,732528.5
356,IND,India,72,72,1950,both,705296.5
356,IND,India,73,73,1950,both,647576
356,IND,India,74,74,1950,both,567163
356,IND,India,75,75,1950,both,494329.5
356,IND,India,76,76,1950,both,433835.5
356,IND,India,77,77,1950,both,374910
356,IND,India,78,78,1950,both,325772.5
356,IND,India,79,79,1950,both,283926
356,IND,India,80,80,1950,both,242919
356,IND,India,81,81,1950,both,202984
356,IND,India,82,82,1950,both,167966
356,IND,India,83,83,1950,both,138517.5
356,IND,India,84,84,1950,both,113476.5
356,IND,India,85,85,1950,both,91213.5
356,IND,India,86,86,1950,both,71565.5
356,IND,India,87,87,1950,both,55131.5
356,IND,India,88,88,1950,both,41846.5
356,IND,India,89,89,1950,both,31530
356,IND,India,90,90,1950,both,22550
356,IND,India,91,91,1950,both,16316
356,IND,India,92,92,1950,both,13163
356,IND,India,93,93,1950,both,9834.5
356,IND,India,94,94,1950,both,6012
356,IND,India,95,95,1950,both,4151
